time,uav_id,state,x,y,soc,route_id,waypoint_idx,current_cell,remaining_cells,progress_pct
4560.0,01,rtb,-302.58132847467783,67.86266833682963,0.2584937763148432,rr_13,1,cell_004_004,6,14.285714285714285
4560.0,02,rtb,-60.676148721371085,190.56246218122203,0.26727396575007395,rr_14,5,cell_007_010,3,62.5
4560.0,03,rtb,-97.07305479492292,180.74000893726912,0.2774755384890936,rr_08,2,cell_006_007,6,25.0
4560.0,04,rtb,320.4297285777321,323.04420562748237,0.28666912139445855,rr_12,10,cell_006_011,3,76.92307692307693
4560.0,05,on_mission,295.5725599182239,321.7472887980271,0.35802283685208214,rr_15,0,cell_001_001,9,0.0
4560.0,06,on_mission,326.2673600279037,333.43315999302433,0.3774023967638226,rr_13,4,cell_007_011,3,57.14285714285714
4560.0,07,on_mission,420.0,192.0,0.3773203458148027,rr_14,6,cell_003_010,2,75.0
4560.0,08,on_mission,460.0,188.0,0.3876231355289848,rr_12,11,cell_003_011,2,84.61538461538461
4560.0,09,on_mission,60.0,404.0,0.40022950975497723,rr_02,2,cell_010_001,6,25.0
4560.0,10,on_mission,302.86375912497266,50.34339191020567,0.5270326430537222,rr_00,8,cell_011_008,1,88.88888888888889
4560.0,11,on_mission,20.0,196.0,0.5569220691779446,rr_01,1,cell_006_000,9,10.0
4560.0,12,on_mission,122.76839915321233,427.5894663844042,0.5560400334793587,rr_03,5,cell_011_005,4,55.55555555555556
4560.0,13,on_mission,272.1344828365805,53.29071564035071,0.5643174039571434,rr_02,0,cell_002_001,8,0.0
4560.0,14,on_mission,140.0,84.0,0.8372853438773435,rr_12,4,cell_004_003,9,30.76923076923077
4560.0,15,on_mission,224.4047517051579,28.07537812612292,0.8413862341363199,rr_13,6,cell_000_005,1,85.71428571428571
4560.0,16,on_mission,219.5690721888768,192.15525050823013,0.8423461064148242,rr_14,3,cell_008_005,5,37.5
4560.0,17,idle,-500.0,0.0,1.0,rr_12,0,cell_000_003,13,0.0
4560.0,18,idle,-500.0,0.0,1.0,rr_14,0,cell_001_002,8,0.0
4560.0,19,idle,-500.0,0.0,1.0,rr_13,0,cell_005_003,7,0.0
4560.0,20,idle,-500.0,0.0,1.0,rr_08,0,cell_003_000,8,0.0
4560.0,21,spare,-500.0,0.0,1.0,None,0,None,0,0
