time,active_uavs,spare_uavs,swapping_uavs,contingency_spares,failed_uavs,deployed_uavs,coverage_%,rolling_avg_%,cells_overdue,c2_violations,c3_alarms,c3_missed,avg_soc,min_soc,orphan_overdue,orphan_coverage_%,bridge_inserts
1.0,1,9,0,1,0,1,0.0,0.0,144,0,0,0,100.0,99.9,0,0.0,0
2.0,1,9,0,1,0,1,0.0,0.0,144,0,0,0,100.0,99.9,0,0.0,0
3.0,1,9,0,1,0,1,0.0,0.0,144,0,0,0,100.0,99.8,0,0.0,0
4.0,1,9,0,1,0,1,0.0,0.0,144,0,0,0,100.0,99.8,0,0.0,0
5.0,2,8,0,1,0,2,0.0,0.0,144,0,0,0,100.0,99.7,0,0.0,0
6.0,2,8,0,1,0,2,0.0,0.0,144,0,0,0,100.0,99.7,0,0.0,0
7.0,2,8,0,1,0,2,0.0,0.0,144,0,0,0,100.0,99.6,0,0.0,0
8.0,2,8,0,1,0,2,0.0,0.0,144,0,0,0,99.9,99.6,0,0.0,0
9.0,2,8,0,1,0,2,0.0,0.0,144,0,0,0,99.9,99.5,0,0.0,0
10.0,3,7,0,1,0,3,0.0,0.0,144,0,0,0,99.9,99.5,0,0.0,0
11.0,3,7,0,1,0,3,0.0,0.0,144,0,0,0,99.9,99.4,0,0.0,0
12.0,3,7,0,1,0,3,0.0,0.0,144,0,0,0,99.9,99.4,0,0.0,0
13.0,3,7,0,1,0,3,0.0,0.0,144,0,0,0,99.9,99.3,0,0.0,0
14.0,3,7,0,1,0,3,0.0,0.0,144,0,0,0,99.9,99.3,0,0.0,0
15.0,4,6,0,1,0,4,0.0,0.0,144,0,0,0,99.8,99.2,0,0.0,0
16.0,4,6,0,1,0,4,0.0,0.0,144,0,0,0,99.8,99.2,0,0.0,0
17.0,4,6,0,1,0,4,0.0,0.0,144,0,0,0,99.8,99.1,0,0.0,0
18.0,4,6,0,1,0,4,0.0,0.0,144,0,0,0,99.8,99.0,0,0.0,0
19.0,4,6,0,1,0,4,0.0,0.0,144,0,0,0,99.8,99.0,0,0.0,0
20.0,4,6,0,1,0,4,0.0,0.0,144,0,0,0,99.7,98.9,0,0.0,0
21.0,4,6,0,1,0,4,0.0,0.0,144,0,0,0,99.7,98.9,0,0.0,0
22.0,4,6,0,1,0,4,0.0,0.0,144,0,0,0,99.7,98.8,0,0.0,0
23.0,4,6,0,1,0,4,0.0,0.0,144,0,0,0,99.7,98.8,0,0.0,0
24.0,4,6,0,1,0,4,0.0,0.0,144,0,0,0,99.7,98.7,0,0.0,0
25.0,4,6,0,1,0,4,0.0,0.0,144,0,0,0,99.6,98.7,0,0.0,0
26.0,4,6,0,1,0,4,0.0,0.0,144,0,0,0,99.6,98.6,0,0.0,0
27.0,4,6,0,1,0,4,0.0,0.0,144,0,0,0,99.6,98.6,0,0.0,0
28.0,4,6,0,1,0,4,0.0,0.0,144,0,0,0,99.6,98.5,0,0.0,0
29.0,4,6,0,1,0,4,0.0,0.0,144,0,0,0,99.6,98.5,0,0.0,0
30.0,4,6,0,1,0,4,0.0,0.0,144,0,0,0,99.6,98.4,0,0.0,0
31.0,4,6,0,1,0,4,0.0,0.0,144,0,0,0,99.5,98.4,0,0.0,0
32.0,4,6,0,1,0,4,0.0,0.0,144,0,0,0,99.5,98.3,0,0.0,0
33.0,4,6,0,1,0,4,0.0,0.0,144,0,0,0,99.5,98.3,0,0.0,0
34.0,4,6,0,1,0,4,0.0,0.0,144,0,0,0,99.5,98.2,0,0.0,0
35.0,4,6,0,1,0,4,0.0,0.0,144,0,0,0,99.5,98.1,0,0.0,0
36.0,4,6,0,1,0,4,0.0,0.0,144,0,0,0,99.4,98.1,0,0.0,0
37.0,4,6,0,1,0,4,0.0,0.0,144,0,0,0,99.4,98.0,0,0.0,0
38.0,4,6,0,1,0,4,0.0,0.0,144,0,0,0,99.4,98.0,0,0.0,0
39.0,4,6,0,1,0,4,0.0,0.0,144,0,0,0,99.4,97.9,0,0.0,0
40.0,4,6,0,1,0,4,0.0,0.0,144,0,0,0,99.4,97.9,0,0.0,0
41.0,4,6,0,1,0,4,0.0,0.0,144,0,0,0,99.3,97.8,0,0.0,0
42.0,4,6,0,1,0,4,0.0,0.0,144,0,0,0,99.3,97.8,0,0.0,0
43.0,4,6,0,1,0,4,0.0,0.0,144,0,0,0,99.3,97.7,0,0.0,0
44.0,4,6,0,1,0,4,0.0,0.0,144,0,0,0,99.3,97.7,0,0.0,0
45.0,4,6,0,1,0,4,0.0,0.0,144,0,0,0,99.3,97.6,0,0.0,0
46.0,4,6,0,1,0,4,0.0,0.0,144,0,0,0,99.2,97.6,0,0.0,0
47.0,4,6,0,1,0,4,0.0,0.0,144,0,0,0,99.2,97.5,0,0.0,0
48.0,4,6,0,1,0,4,0.0,0.0,144,0,0,0,99.2,97.5,0,0.0,0
49.0,4,6,0,1,0,4,0.0,0.0,144,0,0,0,99.2,97.4,0,0.0,0
50.0,4,6,0,1,0,4,0.0,0.0,144,0,0,0,99.2,97.4,0,0.0,0
51.0,4,6,0,1,0,4,0.0,0.0,144,0,0,0,99.1,97.3,0,0.0,0
52.0,4,6,0,1,0,4,0.0,0.0,144,0,0,0,99.1,97.2,0,0.0,0
53.0,4,6,0,1,0,4,0.0,0.0,144,0,0,0,99.1,97.2,0,0.0,0
54.0,4,6,0,1,0,4,0.0,0.0,144,0,0,0,99.1,97.1,0,0.0,0
55.0,4,6,0,1,0,4,0.0,0.0,144,0,0,0,99.1,97.1,0,0.0,0
56.0,4,6,0,1,0,4,0.0,0.0,144,0,0,0,99.1,97.0,0,0.0,0
57.0,4,6,0,1,0,4,0.0,0.0,144,0,0,0,99.0,97.0,0,0.0,0
58.0,4,6,0,1,0,4,0.0,0.0,144,0,0,0,99.0,96.9,0,0.0,0
59.0,4,6,0,1,0,4,0.0,0.0,144,0,0,0,99.0,96.9,0,0.0,0
60.0,4,6,0,1,0,4,0.0,0.0,144,0,0,0,99.0,96.8,0,0.0,0
61.0,4,6,0,1,0,4,0.0,0.0,144,0,0,0,99.0,96.8,0,0.0,0
62.0,4,6,0,1,0,4,0.0,0.0,144,0,0,0,98.9,96.7,0,0.0,0
