route_id,cell_id
rr_00,cell_001_001
rr_00,cell_003_001
rr_00,cell_005_001
rr_00,cell_007_001
rr_00,cell_009_001
rr_00,cell_011_001
rr_00,cell_010_006
rr_00,cell_008_006
rr_00,cell_006_006
rr_00,cell_004_006
rr_00,cell_002_006
rr_00,cell_000_006
rr_00,cell_000_007
rr_00,cell_001_009
rr_00,cell_003_009
rr_00,cell_005_009
rr_00,cell_007_009
rr_00,cell_009_009
rr_00,cell_011_009
rr_01,cell_001_000
rr_01,cell_003_000
rr_01,cell_005_000
rr_01,cell_007_000
rr_01,cell_009_000
rr_01,cell_011_000
rr_01,cell_010_007
rr_01,cell_009_008
rr_01,cell_008_007
rr_01,cell_007_008
rr_01,cell_006_007
rr_01,cell_005_008
rr_01,cell_004_007
rr_01,cell_003_008
rr_01,cell_002_007
rr_01,cell_001_008
rr_01,cell_011_008
rr_02,cell_000_000
rr_02,cell_002_000
rr_02,cell_004_000
rr_02,cell_006_000
rr_02,cell_008_000
rr_02,cell_010_000
rr_02,cell_009_007
rr_02,cell_008_008
rr_02,cell_007_007
rr_02,cell_006_008
rr_02,cell_005_007
rr_02,cell_004_008
rr_02,cell_003_007
rr_02,cell_002_008
rr_02,cell_001_007
rr_02,cell_000_008
rr_02,cell_010_008
rr_03,cell_000_001
rr_03,cell_002_001
rr_03,cell_004_001
rr_03,cell_006_001
rr_03,cell_008_001
rr_03,cell_010_001
rr_03,cell_009_006
rr_03,cell_007_006
rr_03,cell_005_006
rr_03,cell_003_006
rr_03,cell_001_006
rr_03,cell_000_009
rr_03,cell_002_009
rr_03,cell_004_009
rr_03,cell_006_009
rr_03,cell_008_009
rr_03,cell_010_009
rr_03,cell_011_007
rr_03,cell_011_006
rr_04,cell_000_002
rr_04,cell_002_002
rr_04,cell_004_002
rr_04,cell_006_002
rr_04,cell_008_002
rr_04,cell_010_002
rr_04,cell_009_005
rr_04,cell_007_005
rr_04,cell_005_005
rr_04,cell_003_005
rr_04,cell_001_005
rr_04,cell_000_010
rr_04,cell_002_010
rr_04,cell_004_010
rr_04,cell_006_010
rr_04,cell_008_010
rr_04,cell_011_005
rr_05,cell_000_003
rr_05,cell_001_004
rr_05,cell_002_003
rr_05,cell_003_004
rr_05,cell_004_003
rr_05,cell_005_004
rr_05,cell_006_003
rr_05,cell_007_004
rr_05,cell_008_003
rr_05,cell_009_004
rr_05,cell_010_003
rr_05,cell_011_004
rr_05,cell_010_010
rr_05,cell_010_011
rr_05,cell_008_011
rr_05,cell_006_011
rr_05,cell_004_011
rr_05,cell_002_011
rr_05,cell_000_011
rr_06,cell_001_002
rr_06,cell_001_003
rr_06,cell_000_004
rr_06,cell_000_005
rr_06,cell_002_004
rr_06,cell_003_003
rr_06,cell_004_004
rr_06,cell_005_003
rr_06,cell_006_004
rr_06,cell_007_003
rr_06,cell_008_004
rr_06,cell_009_003
rr_06,cell_010_004
rr_06,cell_011_003
rr_06,cell_011_011
rr_06,cell_009_011
rr_06,cell_007_011
rr_06,cell_005_011
rr_06,cell_003_011
rr_06,cell_001_011
rr_07,cell_003_002
rr_07,cell_005_002
rr_07,cell_007_002
rr_07,cell_009_002
rr_07,cell_011_002
rr_07,cell_010_005
rr_07,cell_008_005
rr_07,cell_006_005
rr_07,cell_004_005
rr_07,cell_002_005
rr_07,cell_001_010
rr_07,cell_003_010
rr_07,cell_005_010
rr_07,cell_007_010
rr_07,cell_009_010
rr_07,cell_011_010
