cell_id,x,y,last_observed,age,overdue,grid_row,grid_col
cell_000_000,20.0,20.0,893.0,67.0,False,0,0
cell_000_001,60.0,20.0,930.0,30.0,False,0,1
cell_000_002,100.0,20.0,923.0,37.0,False,0,2
cell_000_003,140.0,20.0,915.0,45.0,False,0,3
cell_000_004,180.0,20.0,907.0,53.0,False,0,4
cell_000_005,220.0,20.0,873.0,87.0,False,0,5
cell_000_006,260.0,20.0,814.0,146.0,False,0,6
cell_000_007,300.0,20.0,902.0,58.0,False,0,7
cell_000_008,340.0,20.0,921.0,39.0,False,0,8
cell_000_009,380.0,20.0,917.0,43.0,False,0,9
cell_000_010,420.0,20.0,912.0,48.0,False,0,10
cell_000_011,460.0,20.0,906.0,54.0,False,0,11
cell_001_000,20.0,60.0,900.0,60.0,False,1,0
cell_001_001,60.0,60.0,936.0,24.0,False,1,1
cell_001_002,100.0,60.0,918.0,42.0,False,1,2
cell_001_003,140.0,60.0,914.0,46.0,False,1,3
cell_001_004,180.0,60.0,949.0,11.0,False,1,4
cell_001_005,220.0,60.0,945.0,15.0,False,1,5
cell_001_006,260.0,60.0,939.0,21.0,False,1,6
cell_001_007,300.0,60.0,933.0,27.0,False,1,7
cell_001_008,340.0,60.0,944.0,16.0,False,1,8
cell_001_009,380.0,60.0,939.0,21.0,False,1,9
cell_001_010,420.0,60.0,933.0,27.0,False,1,10
cell_001_011,460.0,60.0,898.0,62.0,False,1,11
cell_002_000,20.0,100.0,907.0,53.0,False,2,0
cell_002_001,60.0,100.0,943.0,17.0,False,2,1
cell_002_002,100.0,100.0,873.0,87.0,False,2,2
cell_002_003,140.0,100.0,960.0,0.0,False,2,3
cell_002_004,180.0,100.0,960.0,0.0,False,2,4
cell_002_005,220.0,100.0,960.0,0.0,False,2,5
cell_002_006,260.0,100.0,960.0,0.0,False,2,6
cell_002_007,300.0,100.0,953.0,7.0,False,2,7
cell_002_008,340.0,100.0,946.0,14.0,False,2,8
cell_002_009,380.0,100.0,938.0,22.0,False,2,9
cell_002_010,420.0,100.0,924.0,36.0,False,2,10
cell_002_011,460.0,100.0,919.0,41.0,False,2,11
cell_003_000,20.0,140.0,913.0,47.0,False,3,0
cell_003_001,60.0,140.0,950.0,10.0,False,3,1
cell_003_002,100.0,140.0,960.0,0.0,False,3,2
cell_003_003,140.0,140.0,960.0,0.0,False,3,3
cell_003_004,180.0,140.0,954.0,6.0,False,3,4
