time,uav_id,state,x,y,soc,route_id,waypoint_idx,current_cell,remaining_cells,progress_pct
3000.0,01,rtb,-483.3379763124574,9.064381357521228,0.2279879426094386,rr_09,4,cell_009_007,6,40.0
3000.0,02,swapping,-500.0,0.0,0.2236985481215766,rr_08,0,cell_003_000,8,0.0
3000.0,03,failed,100.0,20.0,0.8644434018231907,rr_11,1,cell_001_005,7,12.5
3000.0,04,swapping,-500.0,0.0,0.2380999950144267,rr_10,0,cell_000_001,9,0.0
3000.0,05,on_mission,147.03407551774976,368.20831407112695,0.31118930966541924,rr_14,6,cell_003_010,2,75.0
3000.0,06,on_mission,156.97056274847716,203.02943725152284,0.30998666704882333,rr_13,1,cell_004_004,6,14.285714285714285
3000.0,07,on_mission,404.89781463372816,417.48296910562135,0.3084778075683507,rr_12,8,cell_010_010,5,61.53846153846154
3000.0,08,on_mission,155.7502166379444,275.75021663794473,0.3370102110817365,rr_08,0,cell_003_000,8,0.0
3000.0,09,on_mission,379.6039131581418,276.15540303413064,0.4205349566005829,rr_15,5,cell_003_009,4,55.55555555555556
3000.0,10,on_mission,155.33423425068668,293.99729724794025,0.4319938972587602,rr_12,6,cell_008_003,7,46.15384615384615
3000.0,11,on_mission,219.6390254579011,216.15514856093344,0.4285801629887077,rr_14,3,cell_008_005,5,37.5
3000.0,12,on_mission,193.25987130250445,86.85032174373868,0.4311673664976554,rr_13,0,cell_005_003,7,0.0
3000.0,13,on_mission,156.613030125241,360.4838528392516,0.5971941386868397,rr_00,3,cell_008_007,6,33.33333333333333
3000.0,14,on_mission,145.5367983064247,115.17893276880821,0.6039745497630761,rr_03,1,cell_003_005,8,11.11111111111111
3000.0,15,on_mission,301.9574187862156,141.9879362753132,0.6216240859357371,rr_01,7,cell_003_007,3,70.0
3000.0,16,on_mission,379.83139694771813,237.84513179413221,0.627950819376857,rr_02,5,cell_004_009,3,62.5
3000.0,17,on_mission,384.32888498866436,81.08222124716609,0.872198433578078,rr_12,0,cell_000_003,13,0.0
3000.0,18,on_mission,60.0,278.0,0.7992762040584054,rr_02,2,cell_010_001,6,25.0
3000.0,19,on_mission,280.79999999999967,35.59999999999984,0.8854067129635911,rr_14,7,cell_000_006,1,87.5
3000.0,20,on_mission,437.01509772733243,417.8610125001096,0.8929644376671672,rr_13,6,cell_000_005,1,85.71428571428571
3000.0,21,on_mission,358.58083823312563,296.71826860304316,0.3701964546627978,rr_11,7,cell_002_010,1,87.5
